Data from CIA World Factbook: https://www.cia.gov/library/publications/the-world-factbook/rankorder/2085rank.html 				
Rank	Country	Territory code	Roadways (km)	Year of estimate
176	Barbados	BRB	1600	2011
177	Dominica	DMA	1512	2010
178	Solomon Islands	SLB	1390	2011
179	Cape Verde	CPV	1350	2013
180	United States Virgin Islands	VIR	1260	2008
181	Saint Lucia	LCA	1210	2011
182	Antigua and Barbuda	ATG	1170	2011
183	Grenada	GRD	1127	2001
184	Vanuatu	VUT	1070	2000
185	Guam	GUM	1045	2008
186	Comoros	COM	880	2002
187	Saint Vincent and the Grenadines	VCT	829	2003
188	Cayman Islands	CYM	785	2007
189	Tonga	TON	680	2011
190	Kiribati	KIR	670	2011
191	Jersey	JEY	576	2010
192	Curacao	CUW	550	NA
193	Northern Mariana Islands	MNP	536	2008
194	Seychelles	SYC	508	2010
195	Isle of Man	IMN	500	2008
196	Faroe Islands	FRO	463	2006
197	Bermuda	BMU	447	2010
198	Falkland Islands	FLK	440	2008
199	Macau	MAC	413	2009
200	Saint Kitts and Nevis	KNA	383	2002
201	Principality of Liechtenstein	LIE	380	2012
202	Sao Tome and Principe	STP	320	2000
203	Andorra	AND	320	2008
204	Cook Islands	COK	320	2003
205	San Marino	SMR	292	2006
206	American Samoa	ASM	241	2008
207	Federated States of Micronesia	FSM	240	2000
208	British Virgin Islands	VGB	200	2007
209	"Saint Helena, Ascension, and Tristan da Cunha"	SHN	198	2002
210	Anguilla	AIA	175	2004
211	Christmas Island	CXR	140	2011
212	Turks and Caicos Islands	TCA	121	2003
213	Niue	NIU	120	2011
214	Saint Pierre and Miquelon	SPM	117	2009
215	Maldives	MDV	88	2013
216	Norfolk Island	NFK	80	2008
217	Monaco	MCO	77	2010
218	Sint Maarten	SXM	53	NA
219	Nauru	NRU	30	2002
220	Gibraltar	GIB	29	2007
221	Cocos (Keeling) Islands	CCK	22	2007
222	Tuvalu	TUV	8	2011
